Model,Accuracy,Acc_Std,Precision,Recall,F1,F1_Std,Kappa,MCC
XGBoost,94.74666794704868,0.4739152506230693,94.83664887652047,94.74666794704868,94.7642535586345,0.46860110880830325,0.9211929499141546,0.9214688342181164
Random Forest,94.17631425093417,0.32877980660392214,94.19124427984178,94.17631425093417,94.17441184931438,0.32229948636014644,0.9126354468406042,0.9127277106698765
SVM,93.86718672771076,0.37566620750499446,93.90984512948953,93.86718672771076,93.85962401237265,0.36712052906631537,0.9079903709856791,0.9082698967098246
KNN,91.8465744603331,0.9099494788703271,92.4032060660886,91.8465744603331,91.76972312711675,0.918700337449126,0.8775832338741287,0.8811688251949107
