Model,Accuracy,Acc_Std,Precision,Recall,F1,ROC_AUC,Avg_Precision
XGBoost,96.6723248253832,0.5914587479293419,96.67883824276412,96.6723248253832,96.67255448011926,0.9944942205373859,0.9887513652812834
Random Forest,96.26821366939595,0.3402127576052328,96.30084696414161,96.26821366939595,96.27687112948608,0.9937864352252841,0.9869967455930544
SVM,96.05429572870212,0.7413945033079122,96.13091374612975,96.05429572870212,96.07213283768546,0.9928029294576056,0.984308012387199
KNN,94.08124588700817,0.9132903741275875,94.84952140385066,94.08124588700817,94.17385969638713,0.9852089743816362,0.9514947077995727
